Symbol;n_trades;mean_final_ret;median_final_ret;mean_avg_pos_path_ret;total_sum_pos_path_ret;total_pos_days;hit_ratio;IC_final;Rank_IC_final
NVDA;718;0.01868340498184516;0.015383835370113244;0.030887329732443302;91.02664853457196;2111;0.8161559888579387;0.05485930121589352;0.06688259904184603
AAPL;702;0.008020018348673524;0.010419467902751348;0.016154328209238008;46.2909151788226;2068;0.8205128205128205;-0.06663348627892669;-0.03401322742114093
AMZN;642;0.002551994844708148;0.0018874938855495322;0.01732524516936097;43.79829912683951;1645;0.7741433021806854;-0.07564953666206897;-0.08021241301389674
LRCX;690;0.004918452073384581;0.006145080384878445;0.023057389208131693;63.09064272113913;1811;0.7927536231884058;-0.03512369886627449;-0.037614482263782
SBUX;520;-0.0033875437203753993;-0.0007712921777172403;0.012875774975129945;25.93822729224174;1280;0.7596153846153846;-0.037702845044498036;-0.07959144136570825
REGN;588;0.002302453886086636;0.0029366504641292358;0.014808504681681382;34.94503501823626;1550;0.7806122448979592;-0.028940857366971204;-0.04245763058522825
KLAC;664;0.00285658953602814;0.00269758734802981;0.021657846391234706;58.03535762712695;1705;0.7650602409638554;0.009159287341144495;0.005997206940919873
BKNG;640;0.0012884102624734987;0.004705704455340873;0.016760357061711733;42.975393684122395;1691;0.771875;-0.055647248590497855;-0.026496845085071014
AMD;693;0.008629591230038407;0.004360952700435942;0.029459262864086403;82.31847845061085;1810;0.7633477633477633;-0.004779564004517992;0.009888902277834663
VRTX;618;0.00040364585921132644;0.0021247675275444435;0.013016297600264229;32.1571036354581;1607;0.7799352750809061;0.04245303863644163;0.03450268491826581
MAR;659;0.0008550499255582077;0.0026519804062033183;0.01630246759459433;42.850908998293434;1687;0.7678300455235205;-0.05743827717289794;0.011269702552722947
CDNS;710;0.005452203208222951;0.00557387099858618;0.017820163700693923;50.572975163519764;1942;0.8042253521126761;-0.038980727108528596;-0.03706986463004458
CAT;633;0.004615138310031383;0.004015167687442911;0.016715286986868427;43.64079921723834;1716;0.7914691943127962;0.06322726957058522;0.08087821270729761
INTU;729;0.0013375512897087054;0.006505819774530243;0.016237492009894827;47.822253092275886;1973;0.7846364883401921;-0.09588345604900456;-0.09136527405879259
GILD;616;0.0006916313895001949;0.0006755961092788347;0.012757142843529266;31.10026730264135;1549;0.762987012987013;-0.12317229266894449;-0.13284794819364135
MU;565;0.0002653712823517882;-0.0005464547316761191;0.022619995774569617;49.399431472082185;1417;0.7469026548672566;-0.045603179693162015;-0.03945341790124237
EBAY;645;0.0052019589470278;0.002059177874824345;0.01662080508655073;44.46744830499581;1693;0.7705426356589147;0.03327339490096714;0.011290672407539991
AXP;722;0.002332885585810498;0.0051194206350175745;0.015593052179084833;45.91302598521992;1965;0.778393351800554;-0.03123514633117709;-0.045205675493933534
AMAT;648;0.0033129566488365736;0.0034632410133941874;0.02210626955799869;56.814445592770966;1664;0.779320987654321;0.045419527274826996;0.03584130272063388
COST;737;0.005691340348814336;0.007724686612416185;0.011983433381704432;36.528358509492165;2214;0.8290366350067843;-0.03676614851595879;-0.025946618973003484
MSFT;714;0.0034194973788569663;0.006072991605338805;0.013814519081303886;39.09866207904654;2018;0.8235294117647058;-0.007889309848519158;0.0006800394348695124
ORCL;653;0.005067067441830686;0.004608693711522815;0.015446411371188656;41.85352558897083;1806;0.7947932618683001;-0.022984378081881925;0.05491348007558193
ADI;590;-9.397453225508554e-05;-0.0009015964671170156;0.015428418953117137;34.77892435396277;1456;0.7593220338983051;0.02503388281130662;0.04374807459070309
MS;699;0.006691902103522518;0.007735486104672878;0.01748893849849892;50.22864216906255;1924;0.7939914163090128;0.018551485297243608;-0.005176092427137494
NKE;622;-0.0002508616845129228;0.0009129961857396568;0.014574167866390458;36.181608628705206;1556;0.7508038585209004;0.06048040668383498;0.11557338890884805
