Stock,Test_Year,Metodo,RMSE,MAE,R2
AAPL,2022,GA,0.11821275914328933,0.09589553270938388,0.5787411347934159
AAPL,2022,Aleatorias,0.12641473742034642,0.10125294925293316,0.5158415439510095
AAPL,2023,GA,0.07963496342891853,0.06481409107330321,0.6202047618173047
AAPL,2023,Aleatorias,0.1247444108216496,0.1044931895099697,0.0033423467749995606
AAPL,2024,GA,0.08449524643465825,0.06361348360383322,0.6091290272689768
AAPL,2024,Aleatorias,0.11534612624130972,0.09446936543435143,0.2575600218659505
NVDA,2022,GA,0.15864207225601432,0.1251799559073809,0.6723208748273029
NVDA,2022,Aleatorias,0.18616576170687404,0.15157205382990316,0.5456734900179799
NVDA,2023,GA,0.12414249460266105,0.09929489585350035,0.625957042091293
NVDA,2023,Aleatorias,0.22559714508372825,0.19298719784956955,-0.38506209509108197
NVDA,2024,GA,0.13452246897576778,0.10628184971615434,0.663298691184963
NVDA,2024,Aleatorias,0.16686922292836215,0.1367786955701314,0.4764494867784122
CAT,2022,GA,0.11452466073744716,0.09064699543423861,0.6885128317349933
CAT,2022,Aleatorias,0.1240020536413921,0.10247520631351606,0.6334372608639102
CAT,2023,GA,0.09675946273696377,0.0722503588911438,0.6507637364456562
CAT,2023,Aleatorias,0.11830968743265209,0.09519181228242349,0.4737156962984786
CAT,2024,GA,0.09103241420961602,0.07187055218647397,0.6365558989508521
CAT,2024,Aleatorias,0.11325074936774973,0.09265844305115654,0.408937688226917
BKNG,2022,GA,0.13999933421287106,0.11336272326776231,0.5983103770357938
BKNG,2022,Aleatorias,0.1383728573571817,0.11101999140327765,0.6049228663554219
BKNG,2023,GA,0.1383265460542676,0.11202587091590882,0.07536516703134677
BKNG,2023,Aleatorias,0.15821173732747934,0.13025931310664646,-0.27621366462794494
BKNG,2024,GA,0.08461150716809697,0.06667488629732812,0.6849922229565221
BKNG,2024,Aleatorias,0.11052697636806545,0.0898772813131393,0.4401708812759303
LRCX,2022,GA,0.164776714705859,0.12802918481062134,0.5453013563159114
LRCX,2022,Aleatorias,0.16068310890729867,0.12859316206677834,0.5655542900943087
LRCX,2023,GA,0.11367486080932714,0.08933160715572358,0.5634640346336387
LRCX,2023,Aleatorias,0.19865062585456367,0.16942625753308488,-0.4998163248970508
LRCX,2024,GA,0.127359197607673,0.09638067173861323,0.6050017052389218
LRCX,2024,Aleatorias,0.145745566780036,0.11692764116487994,0.4750263928457418
REGN,2022,GA,0.10813110514117177,0.08176419511204222,0.5987133475863489
REGN,2022,Aleatorias,0.1285178332649257,0.09979100141217176,0.4249391499856385
REGN,2023,GA,0.08254754166948611,0.06477867122516633,0.5923210786472253
REGN,2023,Aleatorias,0.10078464031194352,0.07966971104106427,0.38601793078212576
REGN,2024,GA,0.09252530039917728,0.06801367451172025,0.6941114698737101
REGN,2024,Aleatorias,0.10529648726830658,0.08076506064247138,0.601555174888162
NKE,2022,GA,0.11829436638563083,0.09398268533853896,0.6658513805279311
NKE,2022,Aleatorias,0.1415450285365026,0.11539889978584209,0.5176213035096493
NKE,2023,GA,0.09394315364697706,0.07343654436897279,0.6712295973631113
NKE,2023,Aleatorias,0.10019158044763452,0.0783665664340191,0.6240884355122948
NKE,2024,GA,0.11999292523949344,0.0888987639810547,0.48599392379975626
NKE,2024,Aleatorias,0.10991837377094642,0.08372312847065971,0.5676015398918544
