Stock;RMSE_Base;RMSE_Tuned;Mejora_%;BaselineMode
CDNS;0.1307888285553736;0.10962200233746762;16.183971101892954;defaults
MS;0.12388128249616694;0.10622988511052704;14.248639528078872;defaults
AMAT;0.14771369797546666;0.12935193127474898;12.430645872644345;defaults
INTU;0.12846487296799067;0.11273326998828925;12.24584013999004;defaults
COST;0.08492927133089269;0.07460085882072583;12.161192894174688;defaults
AAPL;0.10592956902715671;0.09394123924216889;11.31726475911029;defaults
GILD;0.08831519322586483;0.07871282028068284;10.872843725341863;defaults
EBAY;0.12201467354418838;0.10880003679343665;10.830366845972803;defaults
CAT;0.1478223311374923;0.1330925185648558;9.964538144738112;defaults
VRTX;0.10429344153154342;0.09510647534911652;8.808766924858176;defaults
LRCX;0.1614433355645978;0.14768297652377152;8.523336682002832;defaults
KLAC;0.14281270578239158;0.13070603976094694;8.477303160890996;defaults
ORCL;0.1022625168344465;0.09380987541003855;8.265630150773612;defaults
MAR;0.11587068211005402;0.10759872917564385;7.138952480277513;defaults
REGN;0.11789116547582885;0.10973723410910614;6.916490590123571;defaults
AMZN;0.1256914787821852;0.1172194810297526;6.740311940409257;defaults
NKE;0.11997580456079268;0.11262391474376665;6.127810389719679;defaults
AMD;0.16095512339372706;0.15113552977441286;6.100826995915869;defaults
AXP;0.107717051035926;0.10161669094834444;5.663318879335977;defaults
MU;0.1446323158642069;0.13645103782878573;5.656604463903114;defaults
BKNG;0.12756861071847672;0.12134372857040286;4.879634663272431;defaults
MSFT;0.1045891624721089;0.10016904314830911;4.226173361870566;defaults
SBUX;0.10619737413943715;0.10224186475122182;3.7246772062572346;defaults
NVDA;0.19296422936997995;0.19646980251374982;-1.8166958483525246;defaults
ADI;0.11466357433298183;0.11745752064030453;-2.4366467935223346;defaults
