Stock;Features
NVDA;RSI_10, RSI_14, MACD_12_26_9, MACD_SIGNAL_10_20_7, ROC_3, ROC_COL_Open_3, ROC_COL_High_3, ADX_8, MDI_9, BB_PERCENT_B_10_2, BB_WIDTH_10_2, BB_SMA_20_2, BB_PERCENT_B_20_2, MFI_14, CHO_5_20, TEMA_14, BINARY_RSI_14_OVERBOUGHT, BINARY_CCI_12_OVERBOUGHT, BINARY_ADX_9_DOWNTREND, BINARY_ADX_12_STRONG_TREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_2.5_ABOVE, BINARY_BB_30_2_BELOW, BINARY_ADL_EMA_12_DOWN, BINARY_TEMA_10_UPTREND
AAPL;MACD_12_26_9, STOCH_D_14_3_3, CCI_9, ROC_COL_Open_14, MDI_9, BB_SMA_10_1.5, BB_UPPER_10_1.5, BB_ZSCORE_10_1.5, BB_ZSCORE_10_2, BB_LOWER_20_1, BB_ZSCORE_50_2, BB_ZSCORE_20_3, ADL_EMA_17, TEMA_12, ULCER_INDEX_5, ULCER_INDEX_14, BINARY_EMA_10_UPTREND, BINARY_RSI_8_OVERBOUGHT, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_20_2.5_BELOW
AMZN;MACD_12_26_9, STOCH_D_14_3_3, WILLIAMS_R_10, ROC_5, ROC_12, ROC_COL_Open_14, ROC_COL_High_10, BB_SMA_10_2, BB_SMA_20_2.5, BB_UPPER_30_2, ADL_EMA_12, ADL_EMA_14, TEMA_14, ULCER_INDEX_5, ULCER_INDEX_9, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_15_OVERBOUGHT, BINARY_BB_10_1.5_ABOVE, BINARY_BB_10_2_ABOVE, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_10_UP, BINARY_OBV_EMA_10_DOWN, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_14_DOWN
LRCX;RSI_12, RSI_14, MACD_SIGNAL_12_26_9, ROC_3, ROC_COL_High_3, ROC_COL_High_10, PDI_10, ADX_12, PDI_12, MDI_14, BB_PERCENT_B_10_2, BB_ZSCORE_20_2, BB_PERCENT_B_50_2, CONNORS_RSI_CLOSE_3, BINARY_RSI_14_OVERBOUGHT, BINARY_CCI_15_OVERBOUGHT, BINARY_ROC_12_UPTREND, BINARY_ATR_10_VOL_UP, BINARY_OBV_EMA_5_UP, BINARY_OBV_EMA_10_DOWN, BINARY_ADL_EMA_14_UP, BINARY_ADL_EMA_15_UP, BINARY_ADL_EMA_17_DOWN, BINARY_ADL_EMA_20_DOWN, BINARY_TEMA_10_UPTREND
SBUX;MACD_HISTOGRAM_7_18_9, STOCH_SIGNAL_14_3_3, CCI_20, ROC_3, ROC_COL_Open_5, ROC_COL_High_3, ROC_COL_Low_3, ROC_COL_Low_7, PDI_12, MDI_14, BB_ZSCORE_20_1, BB_ZSCORE_30_2, CONNORS_RSI_CLOSE_3, ADL_EMA_12, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ADX_14_STRONG_TREND, BINARY_ATR_12_VOL_UP, BINARY_BB_20_2.5_ABOVE, BINARY_BB_20_3_BELOW, BINARY_MFI_14_OVERSOLD, BINARY_ULCER_INDEX_9_UP
REGN;RSI_8, CCI_9, CCI_15, ROC_COL_Open_7, ROC_COL_Open_10, ROC_COL_High_7, ROC_COL_High_14, ROC_COL_Low_2, ATR_12, BB_PERCENT_B_10_2, BB_PERCENT_B_30_2, BB_PERCENT_B_20_3, CONNORS_RSI_3_2_25, MFI_7, CHO_3_10, TEMA_7, ULCER_INDEX_5, ULCER_INDEX_9, BINARY_RSI_12_OVERSOLD, BINARY_CCI_15_OVERSOLD, BINARY_ROC_14_UPTREND, BINARY_ADX_14_STRONG_TREND, BINARY_BB_20_3_BELOW, BINARY_OBV_UP, BINARY_UO_7_14_28_DOWN
KLAC;MACD_10_20_7, STOCH_K_14_3_3, STOCH_D_14_3_3, WILLIAMS_R_10, ROC_12, ROC_COL_Open_7, ROC_COL_High_2, ROC_COL_Low_3, PDI_10, BB_ZSCORE_10_2, BB_UPPER_20_1, BB_PERCENT_B_30_2, MFI_7, TEMA_7, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_8_OVERSOLD, BINARY_RSI_10_OVERSOLD, BINARY_RSI_12_OVERSOLD, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_CCI_20_OVERBOUGHT, BINARY_CCI_20_OVERSOLD, BINARY_ADX_14_DOWNTREND, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_14_DOWN
BKNG;RSI_8, MACD_10_20_7, MACD_HISTOGRAM_10_20_7, STOCH_D_14_3_3, WILLIAMS_R_10, ROC_14, ROC_COL_Open_10, ROC_COL_High_5, ADX_10, PDI_14, BB_UPPER_10_1.5, BB_PERCENT_B_10_1.5, BB_WIDTH_10_1.5, BB_SMA_50_2, BB_PERCENT_B_20_3, ULCER_INDEX_14, BINARY_EMA_14_UPTREND, BINARY_MACD_7_18_9_UP, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_20_OVERSOLD, BINARY_ATR_8_VOL_UP, BINARY_ATR_10_VOL_UP, BINARY_BB_10_1.5_BELOW, BINARY_BB_50_2_ABOVE, BINARY_OBV_EMA_5_DOWN
AMD;MACD_SIGNAL_12_26_9, MACD_HISTOGRAM_12_26_9, MACD_HISTOGRAM_7_18_9, WILLIAMS_R_17, ROC_COL_Low_3, MDI_8, BB_LOWER_10_1.5, BB_LOWER_10_2, BB_ZSCORE_20_1, BB_PERCENT_B_50_2, BB_UPPER_20_3, BB_ZSCORE_20_3, CONNORS_RSI_3_2_25, TEMA_14, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_20_OVERSOLD, BINARY_ROC_1_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_14_DOWNTREND, BINARY_BB_50_2_ABOVE, BINARY_ADL_EMA_12_DOWN, BINARY_TEMA_7_UPTREND, BINARY_ULCER_INDEX_14_UP
VRTX;RSI_12, WILLIAMS_R_14, ROC_COL_Open_7, ROC_COL_High_7, ROC_COL_Low_3, MDI_10, BB_SMA_10_2, BB_ZSCORE_20_1, BB_PERCENT_B_20_2, BB_WIDTH_20_2, BB_LOWER_20_2.5, BB_UPPER_30_2, MFI_14, ADL_EMA_14, BINARY_RSI_8_OVERSOLD, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_CCI_12_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_14_UPTREND, BINARY_BB_20_1_BELOW, BINARY_UO_7_14_28_DOWN, BINARY_ADL_EMA_17_UP, BINARY_TEMA_10_UPTREND, BINARY_SAR_0.02_0.2_UP
MAR;RSI_10, RSI_14, CCI_14, ROC_2, MDI_8, PDI_10, BB_ZSCORE_20_1, BB_LOWER_20_2.5, BB_WIDTH_30_2, CHO_3_10, CHO_5_20, ULCER_INDEX_5, BINARY_MACD_7_18_9_UP, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_CCI_14_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ROC_3_UPTREND, BINARY_ROC_10_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_ADX_10_DOWNTREND, BINARY_BB_10_2_BELOW, BINARY_BB_20_3_ABOVE, BINARY_TEMA_10_UPTREND, BINARY_ULCER_INDEX_9_UP
CDNS;MACD_SIGNAL_7_18_9, MACD_HISTOGRAM_10_20_7, WILLIAMS_R_10, ROC_COL_High_1, ROC_COL_High_5, ROC_COL_Low_1, ADX_14, ATR_14, BB_UPPER_10_2, BB_SMA_20_1, BB_UPPER_20_2.5, BB_UPPER_50_2, BB_PERCENT_B_20_3, BB_WIDTH_20_3, ULCER_INDEX_14, BINARY_RSI_12_OVERSOLD, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ROC_14_UPTREND, BINARY_BB_20_3_ABOVE, BINARY_ADL_EMA_12_DOWN, BINARY_TEMA_14_UPTREND
CAT;MACD_7_18_9, WILLIAMS_R_10, ROC_3, BB_UPPER_10_2, BB_LOWER_10_2, BB_PERCENT_B_20_2, BB_PERCENT_B_30_2, BB_ZSCORE_50_2, BB_UPPER_20_3, BB_PERCENT_B_20_3, OBV, CONNORS_RSI_3_2_25, ULCER_INDEX_5, BINARY_EMA_14_UPTREND, BINARY_MACD_12_26_9_UP, BINARY_CCI_12_OVERBOUGHT, BINARY_ADX_8_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_2_ABOVE, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_17_DOWN, BINARY_ADL_EMA_20_DOWN, BINARY_SAR_0.02_0.2_UP
INTU;ROC_COL_Open_5, ROC_COL_Low_3, ROC_COL_Low_10, MDI_8, MDI_9, BB_ZSCORE_20_1, BB_WIDTH_30_2, CONNORS_RSI_3_2_25, MFI_7, MFI_10, ADL, CHO_5_20, TEMA_7, ULCER_INDEX_5, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ADX_10_STRONG_TREND, BINARY_ADX_14_STRONG_TREND, BINARY_BB_20_2.5_BELOW, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_14_DOWN, BINARY_ULCER_INDEX_14_DOWN
