Symbol;Years_Test;N_Features;Rows_Train;Rnd_State;Selected_Features
NVDA;2018,2019;29;34402;3330;RSI_14,MACD_SIGNAL_12_26_9,STOCH_D_14_3_3,ROC_7,ROC_10,ROC_COL_High_14,ROC_COL_Low_2,ROC_COL_Low_5,ROC_COL_Low_14,PDI_12,PDI_14,BB_WIDTH_10_2,BB_UPPER_20_1,BB_LOWER_20_2,BB_UPPER_50_2,BB_WIDTH_50_2,BINARY_EMA_12_UPTREND,BINARY_RSI_10_OVERSOLD,BINARY_MACD_7_18_9_UP,BINARY_WILLIAMS_R_14_OVERSOLD,BINARY_CCI_14_OVERBOUGHT,BINARY_ROC_3_UPTREND,BINARY_ROC_5_UPTREND,BINARY_ADX_8_UPTREND,BINARY_ADX_8_DOWNTREND,BINARY_BB_10_1.5_ABOVE,BINARY_OBV_EMA_5_DOWN,BINARY_MFI_10_OVERSOLD,BINARY_CHO_3_10_UP
NVDA;2018,2019,2020;27;47834;5346;CCI_20,ROC_1,ROC_10,ROC_COL_Open_1,ROC_COL_Open_3,ROC_COL_Low_2,MDI_12,BB_ZSCORE_10_1.5,BB_WIDTH_10_2,BB_UPPER_20_2,BB_LOWER_20_2.5,BB_ZSCORE_20_2.5,BB_UPPER_50_2,MFI_7,ADL_EMA_15,ADL_EMA_17,BINARY_EMA_10_UPTREND,BINARY_WILLIAMS_R_17_OVERBOUGHT,BINARY_CCI_14_OVERBOUGHT,BINARY_ROC_10_UPTREND,BINARY_ADX_8_DOWNTREND,BINARY_ADX_14_DOWNTREND,BINARY_ATR_10_VOL_UP,BINARY_MFI_10_OVERBOUGHT,BINARY_MFI_14_OVERBOUGHT,BINARY_TEMA_7_UPTREND,BINARY_ULCER_INDEX_5_DOWN
NVDA;2018,2019,2020,2021;24;43435;2096;RSI_10,RSI_14,MACD_SIGNAL_10_20_7,WILLIAMS_R_17,CCI_14,ROC_7,ROC_10,ROC_COL_Open_14,ROC_COL_Low_3,ROC_COL_Low_14,ADX_8,PDI_8,ADX_10,ADX_12,PDI_12,BB_PERCENT_B_20_2,BB_WIDTH_20_2,BB_UPPER_30_2,CHO_5_20,ULCER_INDEX_9,BINARY_MACD_HISTOGRAM_12_26_9_UP,BINARY_ADX_8_UPTREND,BINARY_ADX_8_DOWNTREND,BINARY_BB_10_2_ABOVE
AAPL;2018,2019;19;38193;7806;ROC_1,ROC_7,ROC_COL_High_7,ATR_14,BB_SMA_10_2,BB_ZSCORE_20_2.5,BB_PERCENT_B_30_2,MFI_14,TEMA_7,BINARY_WILLIAMS_R_17_OVERBOUGHT,BINARY_CCI_15_OVERBOUGHT,BINARY_ROC_5_UPTREND,BINARY_ADX_8_STRONG_TREND,BINARY_ADX_12_STRONG_TREND,BINARY_BB_20_2_ABOVE,BINARY_BB_20_3_BELOW,BINARY_ADL_UP,BINARY_ULCER_INDEX_5_DOWN,BINARY_ULCER_INDEX_14_UP
AAPL;2018,2019,2020;24;48929;9085;MACD_HISTOGRAM_10_20_7,CCI_9,BB_PERCENT_B_10_1.5,BB_WIDTH_10_1.5,BB_UPPER_20_2,BB_ZSCORE_20_2,BB_UPPER_50_2,OBV_EMA_5,CONNORS_RSI_3_2_25,ADL_EMA_17,CHO_5_20,BINARY_RSI_8_OVERBOUGHT,BINARY_RSI_8_OVERSOLD,BINARY_RSI_10_OVERSOLD,BINARY_MACD_7_18_9_UP,BINARY_MACD_SIGNAL_10_20_7_UP,BINARY_WILLIAMS_R_10_OVERBOUGHT,BINARY_CCI_14_OVERSOLD,BINARY_ATR_8_VOL_UP,BINARY_BB_20_2_BELOW,BINARY_BB_30_2_BELOW,BINARY_OBV_UP,BINARY_TEMA_7_UPTREND,BINARY_ULCER_INDEX_9_DOWN
AAPL;2018,2019,2020,2021;31;32482;1726;RSI_12,MACD_SIGNAL_12_26_9,STOCH_K_14_3_3,STOCH_D_14_3_3,WILLIAMS_R_17,CCI_12,ROC_COL_Low_1,PDI_8,BB_ZSCORE_10_2,BB_WIDTH_10_2,BB_PERCENT_B_20_1,BB_ZSCORE_20_1,BB_PERCENT_B_20_2,BB_PERCENT_B_30_2,CONNORS_PERCENT_RANK_25,CHO_3_10,SAR_0.02_0.2,BINARY_EMA_14_UPTREND,BINARY_RSI_14_OVERSOLD,BINARY_MACD_SIGNAL_10_20_7_UP,BINARY_MACD_HISTOGRAM_10_20_7_UP,BINARY_WILLIAMS_R_17_OVERSOLD,BINARY_CCI_9_OVERBOUGHT,BINARY_CCI_12_OVERBOUGHT,BINARY_ROC_3_UPTREND,BINARY_BB_10_1.5_BELOW,BINARY_BB_20_2.5_BELOW,BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT,BINARY_ADL_EMA_17_UP,BINARY_TEMA_14_UPTREND,BINARY_ULCER_INDEX_14_UP
AMZN;2018,2019;29;41051;6996;MACD_HISTOGRAM_10_20_7,ROC_7,ROC_COL_Open_12,ROC_COL_High_7,ROC_COL_Low_12,ATR_14,BB_SMA_10_1.5,BB_ZSCORE_10_1.5,BB_SMA_10_2,BB_WIDTH_20_2,BB_LOWER_20_2.5,BB_WIDTH_20_2.5,CONNORS_PERCENT_RANK_25,CHO_5_20,BINARY_RSI_8_OVERSOLD,BINARY_MACD_SIGNAL_7_18_9_UP,BINARY_STOCH_14_3_3_K_ABOVE_D,BINARY_CCI_14_OVERBOUGHT,BINARY_ROC_7_UPTREND,BINARY_ADX_8_STRONG_TREND,BINARY_ADX_12_UPTREND,BINARY_ADX_12_DOWNTREND,BINARY_ATR_8_VOL_UP,BINARY_BB_10_1.5_BELOW,BINARY_BB_20_1_BELOW,BINARY_BB_50_2_ABOVE,BINARY_ADL_EMA_15_DOWN,BINARY_CHO_3_10_UP,BINARY_TEMA_12_UPTREND
AMZN;2018,2019,2020;34;35842;1788;RSI_14,STOCH_SIGNAL_14_3_3,WILLIAMS_R_10,ROC_COL_Open_2,ROC_COL_Open_12,ADX_9,MDI_12,BB_PERCENT_B_10_2,BB_WIDTH_10_2,BB_WIDTH_20_1,BB_SMA_20_2,BB_PERCENT_B_20_2,BB_ZSCORE_30_2,BB_SMA_50_2,BB_PERCENT_B_50_2,CHO_5_20,BINARY_RSI_14_OVERBOUGHT,BINARY_RSI_14_OVERSOLD,BINARY_MACD_SIGNAL_7_18_9_UP,BINARY_WILLIAMS_R_17_OVERBOUGHT,BINARY_WILLIAMS_R_17_OVERSOLD,BINARY_CCI_9_OVERSOLD,BINARY_CCI_12_OVERBOUGHT,BINARY_CCI_15_OVERBOUGHT,BINARY_CCI_15_OVERSOLD,BINARY_ROC_5_UPTREND,BINARY_ROC_7_UPTREND,BINARY_ADX_9_STRONG_TREND,BINARY_BB_20_1_BELOW,BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT,BINARY_CONNORS_RSI_3_2_25_OVERSOLD,BINARY_TEMA_14_UPTREND,BINARY_ULCER_INDEX_5_UP,BINARY_ULCER_INDEX_9_DOWN
AMZN;2018,2019,2020,2021;24;32415;4777;RSI_14,MACD_7_18_9,CCI_20,ROC_COL_High_10,ROC_COL_High_14,ROC_COL_Low_7,ADX_14,BB_WIDTH_10_1.5,BB_ZSCORE_10_2,BB_ZSCORE_20_1,BB_ZSCORE_20_2,BB_ZSCORE_20_2.5,BB_PERCENT_B_50_2,CONNORS_RSI_STREAK_2,ADL_EMA_15,BINARY_WILLIAMS_R_14_OVERBOUGHT,BINARY_ADX_9_UPTREND,BINARY_ADX_12_DOWNTREND,BINARY_BB_50_2_BELOW,BINARY_BB_20_3_ABOVE,BINARY_UO_7_14_28_UP,BINARY_ADL_EMA_10_DOWN,BINARY_SAR_0.02_0.2_UP,BINARY_ULCER_INDEX_5_DOWN
LRCX;2018,2019;26;33180;2961;MACD_HISTOGRAM_7_18_9,STOCH_K_14_3_3,CCI_9,CCI_12,ROC_7,ROC_COL_Open_12,PDI_10,ADX_14,ATR_12,BB_UPPER_10_1.5,BB_WIDTH_10_1.5,BB_WIDTH_20_1,OBV,BINARY_RSI_10_OVERSOLD,BINARY_RSI_14_OVERBOUGHT,BINARY_WILLIAMS_R_10_OVERSOLD,BINARY_CCI_9_OVERBOUGHT,BINARY_CCI_14_OVERBOUGHT,BINARY_ROC_10_UPTREND,BINARY_BB_10_1.5_ABOVE,BINARY_BB_20_2.5_BELOW,BINARY_MFI_10_OVERBOUGHT,BINARY_CHO_5_20_UP,BINARY_TEMA_10_UPTREND,BINARY_TEMA_14_UPTREND,BINARY_ULCER_INDEX_14_UP
