individuo,rmse,r2,tiempo_segundos
1,0,0.478438,0.125
2,0,0.603135,0.089
3,0,0.580513,0.09
4,0,0.531958,0.092
5,0,0.56103,0.091
6,0,0.575881,0.092
7,0,0.502145,0.09
8,0,0.408094,0.09
9,0,0.561718,0.092
10,0,0.332988,0.092
11,0,0.612056,0.09
12,0,0.297581,0.092
13,0,0.581349,0.092
14,0,0.511612,0.091
15,0,0.53663,0.092
16,0,0.542478,0.094
17,0,0.501452,0.09
18,0,0.576728,0.092
19,0,0.578096,0.102
20,0,0.465094,0.092
21,0,0.54934,0.089
22,0,0.596865,0.091
23,0,0.498453,0.093
24,0,0.568784,0.091
25,0,0.472242,0.091
26,0,0.584706,0.091
27,0,0.587628,0.102
28,0,0.448691,0.091
29,0,0.227363,0.092
30,0,0.592948,0.091
