Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_10_12;MSFT;-0.12755350551567798;0.12755350551567798;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;AXP;-0.1323731105603461;0.1323731105603461;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;SBUX;-0.13749977279453993;0.13749977279453993;1.0;50;4;0.1;0.85
TARGET_TREND_ANG_10_12;COST;-0.13953048866635115;0.13953048866635115;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;ORCL;-0.14108954089683912;0.14108954089683912;1.0;150;3;0.03;1.0
TARGET_TREND_ANG_10_12;INTU;-0.14824633867351952;0.14824633867351952;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;NKE;-0.15072606601166252;0.15072606601166252;0.7;100;5;0.1;0.7
TARGET_TREND_ANG_10_12;MAR;-0.15454558544238586;0.15454558544238586;1.0;150;3;0.1;1.0
TARGET_TREND_ANG_10_12;CDNS;-0.15650438858278004;0.15650438858278004;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_10_12;ADI;-0.15868268081065887;0.15868268081065887;0.85;150;5;0.1;0.85
TARGET_TREND_ANG_10_12;GILD;-0.16430337083091376;0.16430337083091376;1.0;200;3;0.05;0.7
TARGET_TREND_ANG_10_12;EBAY;-0.16483141074225607;0.16483141074225607;0.7;200;6;0.01;0.7
TARGET_TREND_ANG_10_12;AAPL;-0.16527931557496112;0.16527931557496112;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;BKNG;-0.166225894823703;0.166225894823703;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_10_12;MS;-0.1710396568981631;0.1710396568981631;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_10_12;AMZN;-0.17152013362666044;0.17152013362666044;1.0;200;4;0.1;1.0
TARGET_TREND_ANG_10_12;CAT;-0.17552834882880364;0.17552834882880364;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;KLAC;-0.18323300584055;0.18323300584055;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;REGN;-0.2021819338171711;0.2021819338171711;1.0;250;4;0.03;0.85
TARGET_TREND_ANG_10_12;VRTX;-0.20224178430435855;0.20224178430435855;0.85;150;5;0.1;0.85
TARGET_TREND_ANG_10_12;AMAT;-0.20797011631934112;0.20797011631934112;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_10_12;LRCX;-0.20937437434430706;0.20937437434430706;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;NVDA;-0.2433509990551145;0.2433509990551145;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_12;MU;-0.2472038233887046;0.2472038233887046;0.7;250;3;0.1;1.0
TARGET_TREND_ANG_10_12;AMD;-0.28480401903509994;0.28480401903509994;1.0;50;6;0.01;1.0
