Stock;best_score_neg_rmse;best_rmse_pos;n_estimators;max_depth;learning_rate;subsample;colsample_bytree
MSFT;-0.06100127570508732;0.06100127570508732;50;4;0.03;1.0;0.7
AXP;-0.061358862370752165;0.061358862370752165;150;4;0.03;1.0;0.85
COST;-0.06342246409011504;0.06342246409011504;250;5;0.01;0.7;1.0
ORCL;-0.06575407900211246;0.06575407900211246;100;6;0.05;0.7;0.85
SBUX;-0.0673205036746229;0.0673205036746229;200;5;0.03;1.0;1.0
INTU;-0.06884818936876723;0.06884818936876723;50;4;0.05;0.7;0.7
MAR;-0.07014604700146719;0.07014604700146719;200;3;0.05;1.0;0.7
NKE;-0.07071376753725978;0.07071376753725978;250;5;0.01;0.7;1.0
ADI;-0.07296223176206613;0.07296223176206613;100;6;0.05;0.7;0.85
AAPL;-0.07431778886990843;0.07431778886990843;100;5;0.05;0.7;0.85
EBAY;-0.07491236856245843;0.07491236856245843;100;6;0.05;0.7;0.85
GILD;-0.07644716064162617;0.07644716064162617;100;6;0.05;0.7;0.85
CDNS;-0.0765510020914552;0.0765510020914552;100;5;0.05;0.7;0.85
BKNG;-0.0788944147582747;0.0788944147582747;250;3;0.1;0.7;0.7
MS;-0.0799575307298055;0.0799575307298055;50;3;0.1;0.7;1.0
AMZN;-0.08046797734515747;0.08046797734515747;150;6;0.03;0.7;1.0
CAT;-0.08169910234641788;0.08169910234641788;200;3;0.05;1.0;0.7
KLAC;-0.08705727130435041;0.08705727130435041;50;5;0.1;0.7;0.7
REGN;-0.09447548915434335;0.09447548915434335;200;4;0.03;0.7;0.7
AMAT;-0.09912719513457872;0.09912719513457872;250;3;0.05;0.85;0.7
VRTX;-0.09953024744740492;0.09953024744740492;150;5;0.1;0.85;0.85
LRCX;-0.10196032830607821;0.10196032830607821;200;4;0.03;1.0;0.7
NVDA;-0.11552933510761916;0.11552933510761916;250;4;0.1;0.85;0.85
MU;-0.12028136080653684;0.12028136080653684;200;4;0.1;1.0;1.0
AMD;-0.14780614083037155;0.14780614083037155;200;3;0.1;0.85;0.85
