Fecha,Symbol,Fold,Target,Predicted,Model,TargetName
2020-01-02,NVDA,2020,0.56315,0.5534235,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-03,NVDA,2020,0.55541,0.48146787,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-06,NVDA,2020,0.5944,0.48798156,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-07,NVDA,2020,0.62099,0.5520525,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-08,NVDA,2020,0.63519,0.55736786,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-09,NVDA,2020,0.655,0.58820915,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-10,NVDA,2020,0.6729,0.6127686,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-13,NVDA,2020,0.66933,0.6618515,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-14,NVDA,2020,0.65852,0.6059683,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-15,NVDA,2020,0.65733,0.5785288,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-16,NVDA,2020,0.65451,0.5948246,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-17,NVDA,2020,0.59802,0.5911262,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-21,NVDA,2020,0.56862,0.53962517,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-22,NVDA,2020,0.53484,0.5441655,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-23,NVDA,2020,0.50103,0.59114105,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-24,NVDA,2020,0.44046,0.55935794,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-27,NVDA,2020,0.40115,0.3969012,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-28,NVDA,2020,0.4277,0.47526726,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-29,NVDA,2020,0.44738,0.44273743,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-30,NVDA,2020,0.47211,0.43875653,MLP-Torch,TARGET_TREND_ANG_15_5
2020-01-31,NVDA,2020,0.49666,0.3586611,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-03,NVDA,2020,0.56661,0.40830627,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-04,NVDA,2020,0.63386,0.4825332,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-05,NVDA,2020,0.70482,0.54964775,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-06,NVDA,2020,0.75752,0.5909057,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-07,NVDA,2020,0.8281,0.57635117,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-10,NVDA,2020,0.85577,0.66268915,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-11,NVDA,2020,0.89965,0.6958312,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-12,NVDA,2020,0.91759,0.71384466,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-13,NVDA,2020,0.92014,0.68449354,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-14,NVDA,2020,0.878,0.74490005,MLP-Torch,TARGET_TREND_ANG_15_5
2020-02-18,NVDA,2020,0.8147,0.74156123,MLP-Torch,TARGET_TREND_ANG_15_5
