Capital_inicial;Capital_final;Capital_ganado;ROI_%;Max_Drawdown;Max_Drawdown_%;DD_Peak_Date;DD_Trough_Date;DD_Recovery_Date;%Ganadores_excl0;%Ganadores_todos;Expectancy;Payoff;CAGR_%;Trades;Symbols_cubiertos;Target
250000.0;645429.02;395429.02;158.17;93169.55;13.46;2024-07-10;2024-08-07;;62.58;62.56;79.13;0.76;20.9;4997;25;TARGET_TREND_ANG_10_10
250000.0;682146.53;432146.53;172.86;109246.31;14.42;2024-07-10;2024-09-06;;62.81;62.79;82.93;0.75;22.25;5211;25;TARGET_TREND_ANG_10_12
250000.0;705553.74;455553.74;182.22;99435.84;12.98;2024-07-10;2024-08-07;;62.92;62.89;96.66;0.77;23.08;4713;25;TARGET_TREND_ANG_10_15
250000.0;402230.21;152230.21;60.89;67754.44;16.91;2021-11-24;2022-10-14;2024-06-17 00:00:00;60.03;60.01;27.6;0.76;9.99;5516;25;TARGET_TREND_ANG_10_5
250000.0;681768.71;431768.71;172.71;66535.75;9.77;2024-07-10;2024-08-05;2024-10-14 00:00:00;62.41;62.39;77.56;0.78;22.24;5567;25;TARGET_TREND_ANG_10_8
250000.0;375923.78;125923.78;50.37;48132.63;13.84;2021-11-19;2022-10-14;2023-12-11 00:00:00;60.12;60.1;25.21;0.75;8.51;4995;25;TARGET_TREND_ANG_15_10
250000.0;564851.43;314851.43;125.94;70662.48;12.08;2024-07-09;2024-08-05;;62.07;62.03;57.19;0.75;17.72;5505;25;TARGET_TREND_ANG_15_12
250000.0;710819.21;460819.21;184.33;82401.3;11.1;2024-07-10;2024-08-07;;63.37;63.32;94.92;0.75;23.26;4855;25;TARGET_TREND_ANG_15_15
250000.0;434102.06;184102.06;73.64;40728.26;10.74;2022-08-04;2022-10-11;2023-01-27 00:00:00;61.06;61.05;37.54;0.76;11.68;4904;25;TARGET_TREND_ANG_15_5
250000.0;380299.61;130299.61;52.12;47427.21;13.51;2021-11-19;2022-10-14;2023-11-20 00:00:00;60.01;59.97;25.99;0.76;8.76;5014;25;TARGET_TREND_ANG_15_8
250000.0;681908.51;431908.51;172.76;77940.41;11.14;2024-07-10;2024-08-05;;63.42;63.4;82.43;0.74;22.24;5240;25;TARGET_TREND_ANG_5_10
250000.0;692012.63;442012.63;176.81;91720.57;12.24;2024-07-10;2024-08-07;;62.34;62.29;70.74;0.75;22.6;6248;25;TARGET_TREND_ANG_5_12
250000.0;711025.89;461025.89;184.41;116913.62;14.78;2024-07-10;2024-08-07;;62.03;61.97;68.56;0.74;23.27;6724;25;TARGET_TREND_ANG_5_15
250000.0;604998.16;354998.16;142.0;52069.82;8.69;2024-07-09;2024-08-05;2024-09-19 00:00:00;62.68;62.65;67.17;0.76;19.35;5285;25;TARGET_TREND_ANG_5_5
250000.0;721364.5;471364.5;188.55;96377.06;12.85;2024-07-10;2024-08-05;;62.7;62.65;82.97;0.76;23.62;5681;25;TARGET_TREND_ANG_5_8
