Symbol;ROI_individual_%
ORCL;11.96307990686567
NKE;12.89544088362151
SBUX;18.784285079086736
MU;19.62781171857746
MAR;21.723824228605928
EBAY;39.59275712924746
AMZN;54.64782675678308
REGN;57.4653819119733
GILD;83.8073039008162
AMD;101.39539528030399
AXP;104.75427057260372
ADI;124.71399290626906
VRTX;129.3800146528133
CAT;133.17536341525886
AAPL;147.0000307215994
BKNG;149.19986313923408
MSFT;172.7935184307098
NVDA;189.79206898986752
INTU;201.17864890409405
KLAC;249.20872092693446
COST;269.0949664390166
CDNS;292.6860819672435
LRCX;302.29931582172344
MS;312.3216145343977
AMAT;350.47997739223666
