Symbol,year,n_train,gpu,segundos
AAPL,2020,61400,True,0.5461
AAPL,2021,67725,True,0.415
AAPL,2022,74025,True,0.443
AAPL,2023,80300,True,0.4384
AAPL,2024,86550,True,0.468
ADI,2020,61400,True,0.3865
ADI,2021,67725,True,0.4208
ADI,2022,74025,True,0.4338
ADI,2023,80300,True,0.437
ADI,2024,86550,True,0.4665
AMAT,2020,61400,True,0.3705
AMAT,2021,67725,True,0.418
AMAT,2022,74025,True,0.4341
AMAT,2023,80300,True,0.438
AMAT,2024,86550,True,0.4551
AMD,2020,61400,True,0.3695
AMD,2021,67725,True,0.4091
AMD,2022,74025,True,0.425
AMD,2023,80300,True,0.421
AMD,2024,86550,True,0.446
AMZN,2020,61400,True,0.3652
AMZN,2021,67725,True,0.3972
AMZN,2022,74025,True,0.436
AMZN,2023,80300,True,0.4156
AMZN,2024,86550,True,0.4415
AXP,2020,61400,True,0.362
AXP,2021,67725,True,0.393
AXP,2022,74025,True,0.4225
AXP,2023,80300,True,0.4195
AXP,2024,86550,True,0.4448
BKNG,2020,61400,True,0.36
BKNG,2021,67725,True,0.4084
BKNG,2022,74025,True,0.4158
BKNG,2023,80300,True,0.4209
BKNG,2024,86550,True,0.4415
CAT,2020,61400,True,0.3601
CAT,2021,67725,True,0.407
CAT,2022,74025,True,0.4322
CAT,2023,80300,True,0.4241
CAT,2024,86550,True,0.46
CDNS,2020,61400,True,0.368
CDNS,2021,67725,True,0.4156
CDNS,2022,74025,True,0.4402
CDNS,2023,80300,True,0.425
CDNS,2024,86550,True,0.437
COST,2020,61400,True,0.364
COST,2021,67725,True,0.402
COST,2022,74025,True,0.4265
COST,2023,80300,True,0.415
COST,2024,86550,True,0.441
EBAY,2020,61400,True,0.359
EBAY,2021,67725,True,0.4015
EBAY,2022,74025,True,0.4245
EBAY,2023,80300,True,0.43
EBAY,2024,86550,True,0.4415
GILD,2020,61400,True,0.3725
GILD,2021,67725,True,0.404
GILD,2022,74025,True,0.428
GILD,2023,80300,True,0.413
GILD,2024,86550,True,0.4348
INTU,2020,61400,True,0.3571
INTU,2021,67725,True,0.4018
INTU,2022,74025,True,0.411
INTU,2023,80300,True,0.446
INTU,2024,86550,True,0.4411
KLAC,2020,61400,True,0.3617
KLAC,2021,67725,True,0.4
KLAC,2022,74025,True,0.4175
KLAC,2023,80300,True,0.4339
KLAC,2024,86550,True,0.4436
LRCX,2020,61400,True,0.362
LRCX,2021,67725,True,0.3969
LRCX,2022,74025,True,0.4198
LRCX,2023,80300,True,0.415
LRCX,2024,86550,True,0.4455
MAR,2020,61400,True,0.3615
MAR,2021,67725,True,0.4
MAR,2022,74025,True,0.4169
MAR,2023,80300,True,0.412
MAR,2024,86550,True,0.4381
MS,2020,61400,True,0.3615
