,0
CCI_12,0.33611098
BB_PERCENT_B_10_2,0.071446605
BB_PERCENT_B_10_1.5,0.06276659
ROC_7,0.062267214
BINARY_ROC_7_UPTREND,0.03992065
ROC_COL_Low_7,0.031006048
ROC_10,0.024379808
ROC_COL_High_7,0.021181956
BINARY_MACD_HISTOGRAM_7_18_9_UP,0.012475547
ROC_5,0.008791723
BINARY_WILLIAMS_R_10_OVERBOUGHT,0.00862124
BB_WIDTH_10_2,0.0073790015
WILLIAMS_R_10,0.006079159
BINARY_WILLIAMS_R_10_OVERSOLD,0.005836219
BINARY_EMA_14_UPTREND,0.0052535348
BINARY_EMA_10_UPTREND,0.004307385
BINARY_BB_20_3_BELOW,0.0042865733
BB_WIDTH_10_1.5,0.0041467203
ROC_COL_Open_7,0.004126661
BINARY_CCI_12_OVERSOLD,0.004039998
BINARY_CONNORS_RSI_3_2_25_OVERSOLD,0.0039785104
BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT,0.0035296157
BINARY_EMA_5_UPTREND,0.0035011608
BINARY_ADX_12_UPTREND,0.0034999908
MACD_HISTOGRAM_10_20_7,0.0034368385
BINARY_ADL_EMA_14_UP,0.003428049
BINARY_BB_10_2_BELOW,0.0033524833
BINARY_ROC_10_UPTREND,0.0033458087
BINARY_EMA_7_UPTREND,0.0033410229
BINARY_CCI_12_OVERBOUGHT,0.003338861
BINARY_ROC_5_UPTREND,0.003283652
BINARY_CCI_20_OVERBOUGHT,0.0031505101
BINARY_BB_20_2.5_BELOW,0.0030839257
MDI_8,0.0030816372
BINARY_CCI_20_OVERSOLD,0.0029475433
BINARY_ROC_3_UPTREND,0.0029320135
BINARY_BB_10_2_ABOVE,0.002815944
ROC_COL_Low_10,0.0027213325
ROC_COL_High_5,0.0026683598
BINARY_WILLIAMS_R_17_OVERBOUGHT,0.0026028564
BINARY_CHO_3_10_UP,0.0024426423
BINARY_CHO_5_20_UP,0.002364747
MACD_HISTOGRAM_7_18_9,0.0023406416
ROC_COL_Low_5,0.0023041028
MDI_9,0.0021788734
BINARY_MACD_HISTOGRAM_12_26_9_UP,0.0021596034
BINARY_RSI_14_OVERSOLD,0.0020918474
BINARY_CCI_15_OVERSOLD,0.0019147334
ULCER_INDEX_9,0.0017881921
BINARY_WILLIAMS_R_14_OVERBOUGHT,0.0017486609
BINARY_MACD_SIGNAL_7_18_9_UP,0.0017432437
BINARY_ULCER_INDEX_9_UP,0.0017358821
CONNORS_RSI_CLOSE_3,0.0017242916
TEMA_10,0.0017204874
MDI_10,0.0017048887
BINARY_MACD_HISTOGRAM_10_20_7_UP,0.0016918734
BB_WIDTH_20_2,0.001684909
BINARY_BB_50_2_ABOVE,0.0016447308
BINARY_RSI_8_OVERSOLD,0.0015797056
BB_UPPER_50_2,0.0015745747
BB_UPPER_20_3,0.0015531096
ADL_EMA_12,0.0014950645
BINARY_SAR_0.02_0.2_UP,0.0014778762
BINARY_BB_20_2_ABOVE,0.0014669237
BINARY_ADL_EMA_20_UP,0.0014323549
SAR_0.02_0.2,0.0013998818
BB_LOWER_20_2.5,0.0013977012
BINARY_BB_20_3_ABOVE,0.0013866689
BINARY_BB_50_2_BELOW,0.0013846345
ULCER_INDEX_5,0.001375232
BINARY_BB_10_1.5_ABOVE,0.0013743525
BINARY_CCI_14_OVERSOLD,0.0013709374
BINARY_MFI_14_OVERBOUGHT,0.0013546839
BINARY_ATR_10_VOL_UP,0.0013544556
BB_UPPER_20_1,0.0013463591
BINARY_ADX_8_STRONG_TREND,0.0013415033
MDI_14,0.0013269802
ADX_10,0.0013025552
BINARY_ROC_14_UPTREND,0.0012893248
BINARY_CCI_14_OVERBOUGHT,0.0012834594
ADL_EMA_15,0.0012725784
BB_LOWER_20_1,0.0012639549
BB_UPPER_20_2,0.0012364736
BB_PERCENT_B_30_2,0.0012294739
BINARY_ADX_9_STRONG_TREND,0.0012265625
BINARY_TEMA_12_UPTREND,0.0012239383
BB_LOWER_20_3,0.0012202176
MDI_12,0.0012148141
BINARY_ADX_10_STRONG_TREND,0.0011925949
ADX_8,0.001187999
TEMA_7,0.0011867558
BINARY_EMA_12_UPTREND,0.0011829932
BINARY_WILLIAMS_R_14_OVERSOLD,0.0011662722
BB_LOWER_10_1.5,0.0011647568
BINARY_MACD_10_20_7_UP,0.0011526997
BINARY_RSI_14_OVERBOUGHT,0.0011459279
TEMA_12,0.0011430229
BB_SMA_10_1.5,0.0011345263
OBV_EMA_10,0.001133006
ADL_EMA_14,0.0011312295
BB_LOWER_10_2,0.001124297
ATR_14,0.0011212493
ULCER_INDEX_14,0.0011034294
BINARY_ROC_2_UPTREND,0.0011031276
BINARY_ULCER_INDEX_14_DOWN,0.001101077
BB_LOWER_30_2,0.0011002561
RSI_8,0.0010912805
BB_WIDTH_20_1,0.001081589
ROC_COL_Low_12,0.0010775989
BINARY_MACD_12_26_9_UP,0.0010762959
ATR_12,0.0010756123
BINARY_ROC_12_UPTREND,0.0010730086
BINARY_ADX_14_UPTREND,0.0010716474
BB_WIDTH_20_2.5,0.0010637987
ADX_9,0.0010592289
BINARY_MFI_14_OVERSOLD,0.0010574429
CHO_5_20,0.0010446489
ADL_EMA_10,0.0010358376
BINARY_ADL_EMA_10_UP,0.0010331171
BB_SMA_50_2,0.0010260725
BB_UPPER_10_2,0.0010242565
ADL_EMA_17,0.0010235306
PDI_12,0.0010224602
BB_SMA_30_2,0.0010222485
BB_WIDTH_50_2,0.0010160056
BB_UPPER_20_2.5,0.0010110659
ROC_COL_High_14,0.0010084005
ATR_8,0.0010047291
BINARY_MACD_SIGNAL_12_26_9_UP,0.0009961361
BINARY_CCI_15_OVERBOUGHT,0.0009916179
BB_WIDTH_20_3,0.000990583
MACD_10_20_7,0.0009886969
BINARY_MFI_7_OVERBOUGHT,0.0009886122
BB_LOWER_50_2,0.0009843402
BINARY_ULCER_INDEX_9_DOWN,0.0009829802
BINARY_RSI_10_OVERSOLD,0.000981027
TEMA_14,0.0009779495
BINARY_BB_20_2.5_ABOVE,0.0009759756
ROC_COL_High_3,0.00097556907
BB_SMA_20_1,0.0009748943
BB_LOWER_20_2,0.0009744166
BB_WIDTH_30_2,0.0009711438
BINARY_ADX_14_STRONG_TREND,0.0009670964
BINARY_BB_20_2_BELOW,0.00095996354
ROC_3,0.0009572301
BB_UPPER_30_2,0.00095028884
ROC_COL_Open_1,0.00093183777
ADX_12,0.0009293387
ADL_EMA_20,0.00092563574
BINARY_STOCH_14_3_3_K_ABOVE_D,0.0009194794
BINARY_UO_7_14_28_UP,0.0009180399
MACD_HISTOGRAM_12_26_9,0.0009176829
BINARY_MFI_10_OVERBOUGHT,0.0009170752
BINARY_RSI_10_OVERBOUGHT,0.0009112378
BINARY_OBV_EMA_10_UP,0.0009096499
PDI_10,0.00090964464
ROC_COL_High_2,0.00090765895
MACD_SIGNAL_12_26_9,0.00089968013
MACD_SIGNAL_10_20_7,0.0008960992
MACD_SIGNAL_7_18_9,0.00089116563
ADL,0.0008898696
CCI_15,0.00088389387
BB_UPPER_10_1.5,0.00088148064
ROC_COL_Open_14,0.0008713544
ROC_COL_Low_3,0.0008686251
OBV_EMA_5,0.0008685059
ROC_COL_High_12,0.00086643465
ATR_10,0.0008658922
ROC_COL_Open_2,0.0008548595
BINARY_WILLIAMS_R_17_OVERSOLD,0.0008527967
CHO_3_10,0.0008460136
BINARY_BB_30_2_ABOVE,0.0008400114
BINARY_RSI_12_OVERSOLD,0.0008342798
BINARY_MACD_7_18_9_UP,0.0008333237
ROC_COL_Low_14,0.00083248195
BINARY_MFI_7_OVERSOLD,0.0008314053
BINARY_MACD_SIGNAL_10_20_7_UP,0.0008286981
BB_PERCENT_B_20_1,0.0008267026
BINARY_ULCER_INDEX_14_UP,0.0008265822
ROC_COL_Open_10,0.0008255833
BINARY_ULCER_INDEX_5_DOWN,0.00082478055
ADX_14,0.0008227122
BINARY_ATR_8_VOL_UP,0.00082061475
BINARY_MFI_10_OVERSOLD,0.0008196492
MFI_14,0.000813807
PDI_9,0.0008081356
ROC_1,0.00080729055
ROC_14,0.0008071756
ROC_2,0.000805816
BINARY_ADX_8_UPTREND,0.0008015819
BINARY_ATR_12_VOL_UP,0.00080100336
BINARY_ADX_12_STRONG_TREND,0.0007998203
CCI_14,0.0007924518
BINARY_ADL_EMA_15_UP,0.0007850352
ROC_COL_Open_3,0.0007817109
ROC_COL_Low_2,0.00078055565
CCI_9,0.0007775428
BINARY_ADL_UP,0.00077334646
MFI_10,0.00077163556
MACD_7_18_9,0.00076989655
BINARY_RSI_8_OVERBOUGHT,0.00076605927
